input/start_location/city,input/days,input/locations/0/name,input/locations/0/lat,input/locations/0/lng,input/locations/0/rating,input/locations/0/open_time,input/locations/0/close_time,input/locations/0/visit_duration,input/locations/0/mandatory,input/locations/1/name,input/locations/1/lat,input/locations/1/lng,input/locations/1/rating,input/locations/1/open_time,input/locations/1/close_time,input/locations/1/visit_duration,input/locations/1/mandatory,input/locations/2/name,input/locations/2/lat,input/locations/2/lng,input/locations/2/rating,input/locations/2/open_time,input/locations/2/close_time,input/locations/2/visit_duration,input/locations/2/mandatory,input/locations/3/name,input/locations/3/lat,input/locations/3/lng,input/locations/3/rating,input/locations/3/open_time,input/locations/3/close_time,input/locations/3/visit_duration,input/locations/3/mandatory,input/preferences/priority,output/itinerary/0/day,output/itinerary/0/schedule/0/location,output/itinerary/0/schedule/0/arrival_time,output/itinerary/0/schedule/0/departure_time,output/itinerary/0/schedule/0/status,output/itinerary/0/schedule/1/location,output/itinerary/0/schedule/1/arrival_time,output/itinerary/0/schedule/1/departure_time,output/itinerary/0/schedule/1/status,output/itinerary/0/schedule/2/location,output/itinerary/0/schedule/2/arrival_time,output/itinerary/0/schedule/2/departure_time,output/itinerary/0/schedule/2/status,output/itinerary/0/schedule/3/location,output/itinerary/0/schedule/3/arrival_time,output/itinerary/0/schedule/3/departure_time,output/itinerary/0/schedule/3/status,output/warnings/0,input/locations/4/name,input/locations/4/lat,input/locations/4/lng,input/locations/4/rating,input/locations/4/open_time,input/locations/4/close_time,input/locations/4/visit_duration,input/locations/4/mandatory,output/itinerary/0/schedule/4/location,output/itinerary/0/schedule/4/arrival_time,output/itinerary/0/schedule/4/departure_time,output/itinerary/0/schedule/4/status,output/warnings/1,output/warnings/2,output/warnings/3,output/warnings/4
Bangalore,1,Lalbagh Botanical Garden,12.9507,77.5848,4.3,09:00,17:00,60,True,ISKCON Temple Bangalore,13.0097,77.5511,4.2,08:00,18:00,90,True,Cubbon Park,12.9763,77.5929,4.2,08:00,18:00,90,False,,,,,,,,,time,1,Lalbagh Botanical Garden,09:00,10:00,feasible,ISKCON Temple Bangalore,11:00,12:00,feasible,Cubbon Park,12:00,13:00,feasible,,,,,Traffic delay near ISKCON Temple Bangalore,,,,,,,,,,,,,,,,
Mumbai,1,Elephanta Caves,18.9633,72.9315,4.3,09:00,18:00,45,True,Juhu Beach,19.0883,72.8264,4.2,08:00,17:00,45,False,Siddhivinayak Temple,19.0176,72.8302,4.1,09:00,17:00,60,False,Marine Drive,18.944,72.823,4.8,08:00,19:00,90,false,distance,1,Elephanta Caves,09:00,10:00,feasible,Juhu Beach,10:00,11:00,feasible,Siddhivinayak Temple,11:00,12:00,feasible,Marine Drive,12:00,13:00,feasible,Traffic delay near Gateway of India,Gateway of India,18.922,72.8347,4.1,08:00,17:00,60,true,Gateway of India,14:00,15:00,feasible,,,,
Delhi,1,Qutub Minar,28.5244,77.1855,4.1,08:00,17:00,90,True,Akshardham Temple,28.6127,77.2773,4.7,10:00,17:00,90,False,India Gate,28.6129,77.2295,4.6,10:00,18:00,45,False,Red Fort,28.6562,77.241,4.3,08:00,17:00,45,false,scenic,1,Qutub Minar,11:00,12:00,feasible,Akshardham Temple,12:00,13:00,feasible,India Gate,13:00,14:00,feasible,Red Fort,14:00,15:00,feasible,Traffic delay near Qutub Minar,,,,,,,,,,,,,,,,
Bangalore,1,ISKCON Temple Bangalore,13.0097,77.5511,4.7,08:00,18:00,60,False,Cubbon Park,12.9763,77.5929,4.5,08:00,19:00,90,False,Bangalore Palace,12.9987,77.592,4.1,09:00,19:00,90,False,Lalbagh Botanical Garden,12.9507,77.5848,4.6,09:00,18:00,90,false,distance,1,ISKCON Temple Bangalore,09:00,10:00,feasible,Cubbon Park,10:00,11:00,feasible,Bangalore Palace,11:00,12:00,feasible,Lalbagh Botanical Garden,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Delhi,1,Akshardham Temple,28.6127,77.2773,4.4,09:00,19:00,90,True,India Gate,28.6129,77.2295,4.4,08:00,17:00,45,False,Qutub Minar,28.5244,77.1855,4.3,08:00,17:00,45,True,Lotus Temple,28.5535,77.2588,4.1,08:00,17:00,90,false,scenic,1,Akshardham Temple,09:00,10:00,feasible,India Gate,10:00,11:00,feasible,Qutub Minar,11:00,12:00,feasible,Lotus Temple,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Delhi,1,Akshardham Temple,28.6127,77.2773,4.1,09:00,17:00,90,False,Qutub Minar,28.5244,77.1855,4.3,08:00,17:00,90,True,Lotus Temple,28.5535,77.2588,4.3,10:00,18:00,45,False,,,,,,,,,distance,1,Akshardham Temple,09:00,10:00,feasible,Qutub Minar,10:00,11:00,feasible,Lotus Temple,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Mumbai,1,Marine Drive,18.944,72.823,4.6,08:00,17:00,90,False,Siddhivinayak Temple,19.0176,72.8302,4.2,09:00,17:00,45,True,Juhu Beach,19.0883,72.8264,4.3,08:00,17:00,90,False,Gateway of India,18.922,72.8347,4.1,08:00,19:00,60,true,distance,1,Marine Drive,09:00,10:00,feasible,Siddhivinayak Temple,10:00,11:00,feasible,Juhu Beach,11:00,12:00,feasible,Gateway of India,12:00,13:00,feasible,,Elephanta Caves,18.9633,72.9315,4.7,08:00,18:00,60,true,Elephanta Caves,13:00,14:00,feasible,,,,
Mumbai,1,Marine Drive,18.944,72.823,4.3,10:00,19:00,60,False,Siddhivinayak Temple,19.0176,72.8302,4.3,08:00,17:00,90,False,Juhu Beach,19.0883,72.8264,4.2,10:00,17:00,45,True,Gateway of India,18.922,72.8347,4.1,09:00,19:00,60,false,time,1,Marine Drive,09:00,10:00,feasible,Siddhivinayak Temple,10:00,11:00,feasible,Juhu Beach,11:00,12:00,feasible,Gateway of India,13:00,14:00,feasible,Traffic delay near Gateway of India,Elephanta Caves,18.9633,72.9315,4,08:00,18:00,60,false,Elephanta Caves,14:00,15:00,feasible,,,,
Mumbai,1,Juhu Beach,19.0883,72.8264,4.8,09:00,18:00,45,False,Marine Drive,18.944,72.823,4.2,10:00,18:00,60,True,Elephanta Caves,18.9633,72.9315,4.6,08:00,17:00,60,True,,,,,,,,,scenic,1,Juhu Beach,09:00,10:00,feasible,Marine Drive,10:00,11:00,feasible,Elephanta Caves,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Mumbai,1,Siddhivinayak Temple,19.0176,72.8302,4.8,10:00,19:00,90,True,Elephanta Caves,18.9633,72.9315,4.6,08:00,18:00,60,False,Juhu Beach,19.0883,72.8264,4.2,10:00,19:00,60,True,,,,,,,,,scenic,1,Siddhivinayak Temple,09:00,10:00,feasible,Elephanta Caves,12:00,13:00,feasible,Juhu Beach,13:00,14:00,feasible,,,,,Traffic delay near Elephanta Caves,,,,,,,,,,,,,,,,
Mumbai,1,Elephanta Caves,18.9633,72.9315,4.4,09:00,17:00,90,True,Juhu Beach,19.0883,72.8264,4.1,10:00,19:00,45,False,Gateway of India,18.922,72.8347,4.2,10:00,19:00,90,True,,,,,,,,,distance,1,Elephanta Caves,10:00,11:00,feasible,Juhu Beach,12:00,13:00,feasible,Gateway of India,15:00,16:00,feasible,,,,,Traffic delay near Elephanta Caves,,,,,,,,,,,,,Traffic delay near Juhu Beach,Traffic delay near Gateway of India,,
Delhi,1,India Gate,28.6129,77.2295,4.6,08:00,19:00,45,False,Red Fort,28.6562,77.241,4.7,09:00,17:00,45,False,Qutub Minar,28.5244,77.1855,4.2,10:00,18:00,90,True,Lotus Temple,28.5535,77.2588,4.4,10:00,18:00,90,true,distance,1,India Gate,09:00,10:00,feasible,Red Fort,12:00,13:00,feasible,Qutub Minar,13:00,14:00,feasible,Lotus Temple,14:00,15:00,feasible,Traffic delay near Red Fort,,,,,,,,,,,,,,,,
Mumbai,1,Marine Drive,18.944,72.823,4.6,10:00,18:00,90,True,Gateway of India,18.922,72.8347,4.5,10:00,17:00,60,True,Juhu Beach,19.0883,72.8264,4.4,10:00,19:00,60,False,Elephanta Caves,18.9633,72.9315,4.1,09:00,18:00,90,false,time,1,Marine Drive,09:00,10:00,feasible,Gateway of India,10:00,11:00,feasible,Juhu Beach,11:00,12:00,feasible,Elephanta Caves,12:00,13:00,feasible,,Siddhivinayak Temple,19.0176,72.8302,4.3,08:00,17:00,45,false,Siddhivinayak Temple,13:00,14:00,feasible,,,,
Delhi,1,Lotus Temple,28.5535,77.2588,4.5,10:00,19:00,90,False,Red Fort,28.6562,77.241,4.6,09:00,18:00,45,True,Akshardham Temple,28.6127,77.2773,4.2,09:00,17:00,90,False,,,,,,,,,distance,1,Lotus Temple,09:00,10:00,feasible,Red Fort,10:00,11:00,feasible,Akshardham Temple,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Delhi,1,Qutub Minar,28.5244,77.1855,4.2,08:00,18:00,90,False,Lotus Temple,28.5535,77.2588,4.1,08:00,18:00,60,True,Akshardham Temple,28.6127,77.2773,4.5,09:00,19:00,60,True,,,,,,,,,scenic,1,Qutub Minar,09:00,10:00,feasible,Lotus Temple,10:00,11:00,feasible,Akshardham Temple,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Delhi,1,India Gate,28.6129,77.2295,4.3,09:00,19:00,90,False,Red Fort,28.6562,77.241,4.7,10:00,17:00,90,True,Lotus Temple,28.5535,77.2588,4.2,09:00,19:00,90,True,Qutub Minar,28.5244,77.1855,4.7,10:00,18:00,90,false,distance,1,India Gate,09:00,10:00,feasible,Red Fort,10:00,11:00,feasible,Lotus Temple,13:00,14:00,feasible,Qutub Minar,14:00,15:00,feasible,Traffic delay near Lotus Temple,Akshardham Temple,28.6127,77.2773,4.7,09:00,17:00,60,true,Akshardham Temple,15:00,16:00,feasible,,,,
Bangalore,1,Lalbagh Botanical Garden,12.9507,77.5848,4.3,08:00,17:00,45,False,Bangalore Palace,12.9987,77.592,4.1,09:00,17:00,90,False,Cubbon Park,12.9763,77.5929,4.1,08:00,18:00,60,True,ISKCON Temple Bangalore,13.0097,77.5511,4.2,10:00,17:00,60,false,scenic,1,Lalbagh Botanical Garden,09:00,10:00,feasible,Bangalore Palace,10:00,11:00,feasible,Cubbon Park,11:00,12:00,feasible,ISKCON Temple Bangalore,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Delhi,1,Qutub Minar,28.5244,77.1855,4.1,08:00,19:00,45,True,Lotus Temple,28.5535,77.2588,4.2,10:00,17:00,45,True,Akshardham Temple,28.6127,77.2773,4.3,08:00,17:00,60,True,Red Fort,28.6562,77.241,4.1,08:00,19:00,60,false,time,1,Qutub Minar,09:00,10:00,feasible,Lotus Temple,10:00,11:00,feasible,Akshardham Temple,13:00,14:00,feasible,Red Fort,14:00,15:00,feasible,Traffic delay near Akshardham Temple,India Gate,28.6129,77.2295,4.2,08:00,17:00,90,true,India Gate,16:00,17:00,feasible,Traffic delay near India Gate,,,
Delhi,1,Qutub Minar,28.5244,77.1855,4.5,09:00,17:00,45,True,India Gate,28.6129,77.2295,4.7,10:00,18:00,60,False,Lotus Temple,28.5535,77.2588,4.1,10:00,18:00,60,False,Akshardham Temple,28.6127,77.2773,4.2,09:00,19:00,45,false,scenic,1,Qutub Minar,10:00,11:00,feasible,India Gate,11:00,12:00,feasible,Lotus Temple,12:00,13:00,feasible,Akshardham Temple,13:00,14:00,feasible,Traffic delay near Qutub Minar,,,,,,,,,,,,,,,,
Mumbai,1,Elephanta Caves,18.9633,72.9315,4.3,08:00,18:00,60,True,Siddhivinayak Temple,19.0176,72.8302,4.3,09:00,17:00,60,False,Gateway of India,18.922,72.8347,4.8,09:00,17:00,60,False,Marine Drive,18.944,72.823,4.5,08:00,18:00,90,true,time,1,Elephanta Caves,09:00,10:00,feasible,Siddhivinayak Temple,10:00,11:00,feasible,Gateway of India,11:00,12:00,feasible,Marine Drive,12:00,13:00,feasible,,Juhu Beach,19.0883,72.8264,4.8,10:00,19:00,90,false,Juhu Beach,13:00,14:00,feasible,,,,
Bangalore,1,ISKCON Temple Bangalore,13.0097,77.5511,4.5,09:00,17:00,90,True,Bangalore Palace,12.9987,77.592,4.4,08:00,19:00,45,True,Lalbagh Botanical Garden,12.9507,77.5848,4.2,09:00,17:00,45,True,Bannerghatta National Park,12.8,77.577,4.1,10:00,19:00,45,false,scenic,1,ISKCON Temple Bangalore,10:00,11:00,feasible,Bangalore Palace,12:00,13:00,feasible,Lalbagh Botanical Garden,15:00,16:00,feasible,Bannerghatta National Park,16:00,17:00,feasible,Traffic delay near ISKCON Temple Bangalore,Cubbon Park,12.9763,77.5929,4.2,08:00,19:00,60,false,Cubbon Park,18:00,19:00,feasible,Traffic delay near Bangalore Palace,Traffic delay near Lalbagh Botanical Garden,Traffic delay near Cubbon Park,
Mumbai,1,Gateway of India,18.922,72.8347,4.1,10:00,17:00,60,True,Juhu Beach,19.0883,72.8264,4.3,09:00,18:00,45,False,Marine Drive,18.944,72.823,4.4,09:00,19:00,45,False,Siddhivinayak Temple,19.0176,72.8302,4.1,09:00,18:00,45,true,distance,1,Gateway of India,09:00,10:00,feasible,Juhu Beach,10:00,11:00,feasible,Marine Drive,11:00,12:00,feasible,Siddhivinayak Temple,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Delhi,1,Red Fort,28.6562,77.241,4.2,09:00,17:00,60,False,Akshardham Temple,28.6127,77.2773,4.5,10:00,18:00,60,False,Qutub Minar,28.5244,77.1855,4.5,09:00,17:00,60,False,,,,,,,,,time,1,Red Fort,09:00,10:00,feasible,Akshardham Temple,10:00,11:00,feasible,Qutub Minar,13:00,14:00,feasible,,,,,Traffic delay near Qutub Minar,,,,,,,,,,,,,,,,
Delhi,1,Akshardham Temple,28.6127,77.2773,4.5,08:00,17:00,60,True,Qutub Minar,28.5244,77.1855,4.8,10:00,18:00,45,False,India Gate,28.6129,77.2295,4.1,09:00,19:00,45,True,,,,,,,,,time,1,Akshardham Temple,09:00,10:00,feasible,Qutub Minar,10:00,11:00,feasible,India Gate,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Delhi,1,Red Fort,28.6562,77.241,4.3,10:00,19:00,60,True,Qutub Minar,28.5244,77.1855,4.8,10:00,18:00,45,False,Akshardham Temple,28.6127,77.2773,4.3,09:00,19:00,45,True,Lotus Temple,28.5535,77.2588,4.4,10:00,19:00,45,false,distance,1,Red Fort,09:00,10:00,feasible,Qutub Minar,12:00,13:00,feasible,Akshardham Temple,13:00,14:00,feasible,Lotus Temple,14:00,15:00,feasible,Traffic delay near Qutub Minar,,,,,,,,,,,,,,,,
Bangalore,1,Bannerghatta National Park,12.8,77.577,4.8,10:00,19:00,45,False,Lalbagh Botanical Garden,12.9507,77.5848,4.1,09:00,19:00,90,False,Bangalore Palace,12.9987,77.592,4.7,09:00,18:00,45,False,ISKCON Temple Bangalore,13.0097,77.5511,4.2,10:00,19:00,45,false,distance,1,Bannerghatta National Park,09:00,10:00,feasible,Lalbagh Botanical Garden,10:00,11:00,feasible,Bangalore Palace,11:00,12:00,feasible,ISKCON Temple Bangalore,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Bangalore,1,ISKCON Temple Bangalore,13.0097,77.5511,4.5,10:00,18:00,90,True,Bannerghatta National Park,12.8,77.577,4.2,09:00,17:00,45,False,Cubbon Park,12.9763,77.5929,4.3,08:00,17:00,90,True,Bangalore Palace,12.9987,77.592,4.8,10:00,19:00,90,true,distance,1,ISKCON Temple Bangalore,09:00,10:00,feasible,Bannerghatta National Park,10:00,11:00,feasible,Cubbon Park,11:00,12:00,feasible,Bangalore Palace,12:00,13:00,feasible,,,,,,,,,,,,,,,,,
Bangalore,1,ISKCON Temple Bangalore,13.0097,77.5511,4.3,10:00,18:00,60,False,Lalbagh Botanical Garden,12.9507,77.5848,4.1,10:00,18:00,45,True,Bangalore Palace,12.9987,77.592,4.2,08:00,18:00,60,False,Cubbon Park,12.9763,77.5929,4.1,10:00,18:00,60,false,time,1,ISKCON Temple Bangalore,09:00,10:00,feasible,Lalbagh Botanical Garden,10:00,11:00,feasible,Bangalore Palace,11:00,12:00,feasible,Cubbon Park,12:00,13:00,feasible,,Bannerghatta National Park,12.8,77.577,4,08:00,18:00,45,false,Bannerghatta National Park,13:00,14:00,feasible,,,,
Mumbai,1,Marine Drive,18.944,72.823,4.7,08:00,17:00,45,True,Juhu Beach,19.0883,72.8264,4.4,08:00,18:00,60,False,Siddhivinayak Temple,19.0176,72.8302,4.3,09:00,18:00,45,False,,,,,,,,,distance,1,Marine Drive,09:00,10:00,feasible,Juhu Beach,11:00,12:00,feasible,Siddhivinayak Temple,13:00,14:00,feasible,,,,,Traffic delay near Juhu Beach,,,,,,,,,,,,,Traffic delay near Siddhivinayak Temple,,,
Mumbai,1,Marine Drive,18.944,72.823,4.6,10:00,19:00,90,True,Gateway of India,18.922,72.8347,4.0,10:00,19:00,45,False,Juhu Beach,19.0883,72.8264,4.3,10:00,17:00,45,True,,,,,,,,,scenic,1,Marine Drive,09:00,10:00,feasible,Gateway of India,10:00,11:00,feasible,Juhu Beach,11:00,12:00,feasible,,,,,,,,,,,,,,,,,,,,,
Delhi,1,Akshardham Temple,28.6127,77.2773,4.2,09:00,18:00,60,True,India Gate,28.6129,77.2295,4.2,10:00,19:00,45,False,Red Fort,28.6562,77.241,4.2,08:00,18:00,90,False,Lotus Temple,28.5535,77.2588,4.5,10:00,17:00,60,false,time,1,Akshardham Temple,09:00,10:00,feasible,India Gate,10:00,11:00,feasible,Red Fort,11:00,12:00,feasible,Lotus Temple,12:00,13:00,feasible,,Qutub Minar,28.5244,77.1855,4.3,10:00,17:00,90,true,Qutub Minar,13:00,14:00,feasible,,,,
Bangalore,1,Lalbagh Botanical Garden,12.9507,77.5848,4.6,09:00,18:00,45,True,Bangalore Palace,12.9987,77.592,4.3,08:00,19:00,60,True,ISKCON Temple Bangalore,13.0097,77.5511,4.5,10:00,19:00,60,False,Cubbon Park,12.9763,77.5929,4.1,10:00,19:00,60,false,time,1,Lalbagh Botanical Garden,09:00,10:00,feasible,Bangalore Palace,11:00,12:00,feasible,ISKCON Temple Bangalore,13:00,14:00,feasible,Cubbon Park,14:00,15:00,feasible,Traffic delay near Bangalore Palace,Bannerghatta National Park,12.8,77.577,4.6,08:00,19:00,60,false,Bannerghatta National Park,17:00,18:00,feasible,Traffic delay near ISKCON Temple Bangalore,Traffic delay near Bannerghatta National Park,,
Delhi,1,Qutub Minar,28.5244,77.1855,4.4,09:00,18:00,60,False,India Gate,28.6129,77.2295,4.5,09:00,17:00,90,False,Akshardham Temple,28.6127,77.2773,4.4,09:00,18:00,60,False,Lotus Temple,28.5535,77.2588,4.1,09:00,19:00,90,false,time,1,Qutub Minar,09:00,10:00,feasible,India Gate,10:00,11:00,feasible,Akshardham Temple,11:00,12:00,feasible,Lotus Temple,12:00,13:00,feasible,,Red Fort,28.6562,77.241,4.5,10:00,18:00,60,true,Red Fort,13:00,14:00,feasible,,,,
Mumbai,1,Elephanta Caves,18.9633,72.9315,4.2,08:00,19:00,45,False,Gateway of India,18.922,72.8347,4.4,10:00,18:00,90,False,Marine Drive,18.944,72.823,4.0,10:00,17:00,45,False,Siddhivinayak Temple,19.0176,72.8302,4.1,08:00,19:00,90,true,distance,1,Elephanta Caves,09:00,10:00,feasible,Gateway of India,12:00,13:00,feasible,Marine Drive,13:00,14:00,feasible,Siddhivinayak Temple,14:00,15:00,feasible,Traffic delay near Gateway of India,,,,,,,,,,,,,,,,
Delhi,1,Red Fort,28.6562,77.241,4.7,09:00,18:00,45,False,Lotus Temple,28.5535,77.2588,4.6,10:00,18:00,60,False,India Gate,28.6129,77.2295,4.3,09:00,17:00,45,False,Qutub Minar,28.5244,77.1855,4.5,08:00,17:00,45,false,distance,1,Red Fort,10:00,11:00,feasible,Lotus Temple,11:00,12:00,feasible,India Gate,12:00,13:00,feasible,Qutub Minar,13:00,14:00,feasible,Traffic delay near Red Fort,Akshardham Temple,28.6127,77.2773,4.7,09:00,18:00,90,true,Akshardham Temple,14:00,15:00,feasible,,,,
